Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Blue Jackets,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
3,7:55,5v5,NYR,8,w,93,,,oc,,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,7:00,5v5,CBJ,17,w,7,51,,orrc,dc,,y,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,17,18,11,7,58,72,,20,21,13,18,22,30
3,6:45,5v5,NYR,22,w,18,21,,oc,oell,,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,17,18,11,7,58,72,,20,21,13,18,22,30
3,5:52,5v5,NYR,61,t,36,,,orrl,,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,4:39,5v5,NYR,21,t,18,,,ol,,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,4:22,5v5,NYR,13,w,18,,,nl,,,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,38,18,51,58,72,0,,20,26,13,5,27,30
3,3:50,5v4,CBJ,20,w,27,,,oc,,,y,y,,y,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,72,,28,19,8,18,30,0
3,2:19,5v5,NYR,13,w,5,,,,,,,y,,y,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,19,20,71,27,58,72,,20,21,13,5,27,30
3,1:57,5v5,NYR,18,o,19,,,oell,,,,,,,,,,-1,72,20013,10/9/2015,CBJ,NYR,,,,17,38,11,7,51,72,,26,28,19,8,18,30
3,1:47,5v5,CBJ,17,b,38,,,dl,,,,,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,17,38,11,7,51,72,,26,28,19,8,18,30
3,1:00,6v5,CBJ,19,t,27,58,19,or,oc,ofp,y,,,,,,,-2,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,58,,26,28,19,5,27,30
3,0:55,6v5,CBJ,58,o,27,58,20,oc,oc,opr,,,,,,,,-2,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,58,,26,28,19,5,27,30
3,0:45,6v5,CBJ,43,o,71,19,58,oc,ol,ol,y,y,,,,,,-2,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,58,,26,28,19,5,27,30
3,0:33,6v5,CBJ,20,w,27,20,,oc,or,,,,,,,,,-2,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,58,,26,28,19,5,27,30
1,19:09,5v5,TOR,42,W,51,3,,dsl,dc,,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,72,34,,19,20,71,7,58,72,,42,47,21,3,51,34
1,19:06,5v5,TOR,44,W,42,,,of,,,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,7,58,72,,42,47,21,2,44,34
1,18:49,5v5,CBJ,19,W,71,,,or,,,y,,,,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,19,20,71,7,58,72,,42,47,21,2,44,34
1,17:24,5v5,CBJ,27,O,43,29,,opl,ol,,,y,,,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,23,43,28,36,46,34
1,16:13,5v5,CBJ,38,T,13,17,,oc,of,,y,y,,y,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,17,38,13,27,29,72,,16,26,19,3,51,34
1,15:57,5v5,TOR,21,W,42,,,oc,,,y,y,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,7,58,72,,42,47,21,2,44,34
1,15:47,5v5,TOR,44,W,2,47,,opc,ol,,,y,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,7,58,72,,42,47,21,2,44,34
1,14:53,5v5,CBJ,11,W,18,47,,oc,or,,,,,,,,,1,34,20059,10/16/2015,CBJ,TOR,,,,9,23,11,47,51,72,,24,15,40,2,36,34
1,12:09,5v4,CBJ,19,W,27,19,20,oc,oc,opl,,,,,,,,1,34,20059,10/16/2015,CBJ,TOR,,,,19,20,43,71,27,72,,23,26,44,46,34,0
1,12:00,4v5,TOR,23,W,26,,,nc,,,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,19,20,43,71,27,72,,23,26,44,46,34,0
1,10:27,5v5,TOR,44,S,43,,,of,,,,y,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,9,18,11,29,47,72,,23,43,28,2,44,34
1,10:02,5v5,TOR,2,W,28,43,44,nr,dc,dc,,y,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,23,43,28,2,36,34
1,9:58,5v5,TOR,46,W,15,,,of,,,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,23,43,28,2,36,34
1,9:41,5v5,TOR,24,W,40,24,44,ol,nc,dsc,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,7,58,72,,24,15,40,2,44,34
1,6:42,5v5,TOR,21,W,47,3,21,nc,dc,dl,,y,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,27,29,72,,42,47,21,3,51,34
1,6:39,5v5,TOR,3,O,42,,,of,,,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,27,29,72,,42,47,21,3,51,34
1,6:19,5v5,TOR,51,W,47,,,opl,,,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,5:20,5v5,CBJ,11,W,23,11,9,ol,ol,ol,,,,,,,,1,34,20059,10/16/2015,CBJ,TOR,,,,9,23,11,47,51,72,,23,43,28,36,46,34
1,2:21,5v5,TOR,51,O,2,42,,ol,opc,,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,47,51,72,,42,47,21,2,51,34
1,1:38,5v5,CBJ,25,W,43,29,,nr,dr,,,,,,,,,1,34,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,23,43,28,3,51,34
1,1:32,5v5,CBJ,29,W,27,25,,oc,ofp,,,y,,,,,,1,34,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,24,15,40,2,46,34
1,1:05,5v5,TOR,26,W,19,,,nc,,,,,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,16,26,19,3,51,34
1,0:26,5v5,TOR,2,O,42,,,of,,,,y,,,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,9,23,11,27,58,72,,42,43,21,2,3,34
2,19:31,5v5,TOR,51,S,26,19,,opc,oc,,,y,,y,,,,1,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,47,51,72,,16,26,19,3,51,34
2,18:50,5v5,CBJ,71,W,58,,,nc,,,,,,,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,19,20,71,27,29,72,,23,43,28,36,46,34
2,18:39,5v5,CBJ,29,O,19,71,,opr,oc,,,y,,,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,19,20,71,27,29,72,,23,43,28,36,46,34
2,18:10,5v5,CBJ,18,S,29,25,43,oc ,oc,dl,,y,,,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,23,43,28,36,46,34
2,17:17,5v5,TOR,15,W,40,,,nc,,,,y,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,7,51,72,,24,15,40,36,46,34
