Name,Pos,PosSimple,Gm,G,A1,A2,P,iHSC,iSC,iCF,C+ -,F+ -,G+ -,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,Salary,Age,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,MS,SH,SF,GF,SA,GA,FA,CA,SCF,SCA,ShotAttempts,Goals,Assists,ScoringChances,ShotsOnGoal,OddmanRushes,DirectGoals,ReboundsGeneratedFromAttempts,AttemptsWith0Assists,AttemptsWith1Assists,AttemptsWith2Assists,AttemptsWith3Assists,DirectGoalsWith0Assists,DirectGoalsWith1Assists,DirectGoalsWith2Assists,DirectGoalsWith3Assists,ReboundAttempts,ReboundsOnGoal,ReboundGoalsScored,A1OnAttempts,A1OnScoringChances,A1OnShotsOnGoal,A1OnOddmanRushes,A1OnDirectGoals,A2OnAttempts,A2OnScoringChances,A2OnShotsOnGoal,A2OnOddmanRushes,A2OnDirectGoals,A3OnAttempts,A3OnScoringChances,A3OnShotsOnGoal,A3OnOddmanRushes,A3OnDirectGoals
Joonas Donskoi,LR,F,16,4,2,1,7,19,27,30,6,20,2,204,161,62,70,9,0,0,6,32,3,2,211.6,0.925,23,57.84499055,56.1436673,113.9886578,45.65217391,39.98109641,85.63327032,34.3100189,27.5047259,3,6,17,121,12,97,10,141,198,118,96,20,3,2,14,11,1,2,0,1,7,11,1,0,1,1,0,3,3,1,30,13,15,1,2,22,8,10,1,0,9,4,6,0,1
Joonas Kemppainen,F,F,13,0,0,0,0,7,7,12,-41,-32,-4,99,74,36,41,3,56,55,12,3,0,0,144.7,0.792,27,41.05044921,58.05114029,99.1015895,30.68417415,43.95300622,74.63718037,19.9032481,27.78161714,4,4,4,48,2,67,6,106,140,44,72,3,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,20,5,6,0,0,6,0,3,0,0,2,0,0,0,0
Jordan Caron,LR,F,2,0,0,0,0,0,0,1,3,1,-1,12,8,1,2,0,0,0,4,2,0,0,16.3,0.6,24,44.17177914,33.12883436,77.3006135,29.44785276,25.76687117,55.21472393,22.08588957,14.72392638,1,0,0,6,0,4,1,7,9,5,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0
Jordan Eberle,R,F,11,1,1,0,2,6,14,29,-4,-6,-1,146,106,46,52,3,0,0,1,13,0,4,161.9,6,25,54.10747375,55.58987029,109.697344,39.28350834,41.50710315,80.79061149,30.01852996,32.24212477,11,3,14,81,4,87,5,112,150,64,80,25,2,0,13,14,1,1,2,0,10,6,9,0,1,0,0,1,1,1,36,11,22,0,0,9,5,3,0,0,3,2,1,0,0
Jordan Martinook,C,F,8,2,2,0,4,7,14,22,-10,-12,-3,84,61,16,26,4,1,0,5,7,0,0,95.5,0.6,23,52.77486911,59.05759162,111.8324607,38.32460733,45.86387435,84.18848168,30.15706806,32.04188482,4,4,12,48,4,51,7,73,94,40,44,13,2,1,6,7,0,1,2,0,4,8,1,0,0,1,0,1,1,1,8,2,3,0,0,7,1,4,0,1,1,0,1,0,0
Jordan Nolan,RL,F,9,0,0,1,1,4,10,15,7,5,2,72,52,26,16,1,0,0,20,5,2,0,75.2,0.85,26,57.44680851,51.86170213,109.3085106,41.4893617,37.5,78.9893617,27.12765957,31.11702128,4,6,5,34,4,39,2,47,65,41,39,14,0,1,1,6,0,0,0,0,8,2,4,0,0,0,0,0,0,0,7,3,1,1,0,5,1,2,0,1,2,0,0,0,0
Jordan Schroeder,CR,F,3,0,0,0,0,0,1,3,-4,-4,0,22,17,5,10,0,0,0,0,1,0,0,23.7,0.6,24,55.69620253,65.82278481,121.5189873,43.03797468,53.16455696,96.20253165,27.84810127,37.97468354,1,1,1,11,1,15,1,21,26,6,10,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Staal,C,F,15,1,0,0,1,16,25,38,31,17,-5,177,131,50,51,4,100,64,29,14,1,1,192.7,6,27,55.11157239,45.4592631,100.5708355,40.78879087,35.495589,76.28437987,26.15464453,27.08873897,8,10,19,84,4,87,9,114,146,73,82,26,1,1,12,12,1,1,1,0,12,7,7,0,1,0,0,3,2,0,27,9,8,0,0,21,5,8,0,1,6,3,4,1,0
Jordan Weal,C,F,1,0,0,0,0,0,0,1,-8,-9,0,4,2,2,0,0,3,1,0,0,0,0,7.8,0.632,23,30.76923077,92.30769231,123.0769231,15.38461538,84.61538462,100,0,46.15384615,1,0,0,0,0,6,0,11,12,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordie Benn,D,D,24,1,2,2,5,1,13,41,-5,-3,1,291,214,112,106,27,0,0,31,39,4,1,321.9,0.85,28,54.24044734,55.17241379,109.4128611,39.88816403,40.4473439,80.33550792,28.89095993,28.14538677,19,10,11,155,15,151,14,217,296,161,124,38,1,3,2,12,0,1,0,0,20,15,3,0,1,0,0,0,0,0,22,6,11,1,2,19,6,10,0,1,1,1,0,0,0
Jordin Tootoo,R,F,48,2,2,0,4,15,47,91,-30,-7,-13,357,282,100,158,15,0,2,78,46,9,8,512.9,0.825,32,41.76252681,45.27198284,87.03450965,32.98888672,33.8077598,66.79664652,22.34353675,24.3322285,13,23,53,191,5,208,18,289,387,156,181,61,2,2,14,37,0,2,2,0,33,18,10,0,1,1,0,1,1,0,63,14,23,2,2,41,9,21,0,0,6,1,2,0,0
