Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Panthers,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,0.150694444,5v4,FLA,18,w,51,73,,oc,opr,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,0.074305556,5v5,PHI,14,w,3,,,nr,,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,17,63,22,33,44,1,,10,14,93,3,82,30
1,0.05,5v5,FLA,7,w,73,,,or,,,y,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,73,18,6,7,1,,24,93,21,32,82,30
1,0.034027778,5v4,PHI,93,o,10,,,orrc,,,y,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,10,28,93,12,32,30
1,0.008333333,5v4,PHI,32,s,93,12,,opr,opr,,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,10,28,93,12,32,30
1,0.002777778,5v4,PHI,28,w,12,,,ol,,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,10,28,93,12,32,30
1,0.000694444,5v4,PHI,93,o,32,28,,orrc,of,,y,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,17,63,33,44,1,0,,10,28,93,12,32,30
2,0.820833333,5v4,PHI,93,w,32,28,12,ol,opl,opl,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,25,28,93,12,32,30
2,0.813194444,5v4,PHI,28,w,32,,,oc,,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,25,28,93,12,32,30
2,0.802777778,5v4,PHI,32,o,28,25,,opl,oc,,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,25,28,93,12,32,30
2,0.797222222,5v4,PHI,93,w,28,32,93,ol,oc,opr,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,25,28,93,12,32,30
2,0.786111111,5v4,PHI,14,w,32,,,dsc,,,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,27,18,5,6,51,1,,10,14,89,15,32,30
2,0.761805556,5v5,FLA,73,w,51,,,nl,,,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,27,73,18,5,51,1,,10,14,89,15,23,30
2,0.754166667,5v5,FLA,51,w,16,5,,opr,opr,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,5,51,1,,25,76,78,32,55,30
2,0.747916667,5v5,FLA,51,s,5,68,16,opr,opr,or,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,5,51,1,,25,76,78,32,55,30
2,0.714583333,5v5,FLA,36,w,63,,,of,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,63,36,6,7,1,,89,24,21,3,82,30
2,0.710416667,5v5,FLA,63,o,36,,,or,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,63,36,6,7,1,,89,24,21,3,82,30
2,0.640277778,5v5,PHI,3,w,82,28,,opc,opc,,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,17,22,86,33,44,1,,28,93,12,3,82,30
2,0.626388889,5v5,PHI,32,b,10,89,,nc,ol,,y,y,4 on 2,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,11,16,68,5,51,1,,10,14,89,32,55,30
2,0.618055556,5v5,FLA,16,w,11,5,,oc,dc,,y,y,3 on 2,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,5,51,1,,10,14,89,32,55,30
2,0.59375,5v5,FLA,5,o,36,,,opr,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,63,36,6,7,1,,25,76,78,15,23,30
