NameCode,Name,Pos,home,G,A1,A2,P,iHSC,iSC,iCF,C+/-,F+/-,G+/-,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,AB,MS,SH,SF,SA,GF,GA,FF,FA,CF,CA,SCF,SCA,GameID
teravte94,Teuvo.Teravainen,C,1,0,0,0,0,1,1,2,2,1,0,8,6,3,0,0,0,1,0,1,0,1,9.6,50.1,37.6,87.7,37.6,31.3,68.9,25,31.3,1,0,0,1,4,5,0,0,6,5,8,6,3,4,20238
desjaan86,Andrew.Desjardins,C,1,0,0,0,0,0,1,1,0,-2,-1,5,2,0,1,0,0,0,2,3,0,0,6.3,47.3,47.3,94.6,18.9,37.8,56.8,9.5,28.4,1,0,0,0,1,3,0,1,2,4,5,5,2,4,20238
mashibr88,Brandon.Mashinter,L,1,0,0,0,0,0,0,1,-1,-3,-1,4,2,0,0,0,0,0,2,2,0,0,5.1,47.3,59.1,106.4,23.6,59.1,82.8,11.8,59.1,1,0,0,0,1,5,0,1,2,5,4,5,1,4,20238
seabrbr85,Brent.Seabrook,D,1,0,0,0,0,0,0,1,-2,-6,-1,10,5,5,0,0,0,0,0,5,0,0,15.1,39.8,47.8,87.6,19.9,43.8,63.7,8,39.8,0,0,1,0,2,10,0,1,5,11,10,12,4,7,20238
svedbvi91,Viktor.Svedberg,D,1,0,0,0,0,0,1,1,-3,-7,-1,10,5,5,0,0,0,0,0,4,0,0,15.5,38.7,50.3,89,19.3,46.4,65.8,7.7,42.6,1,0,0,0,2,11,0,1,5,12,10,13,4,8,20238
krugema90,Marcus.Kruger,C,1,0,0,0,0,0,0,2,-4,-6,-1,5,2,0,1,0,1,1,1,3,0,0,7.2,41.9,75.4,117.3,16.8,67.1,83.8,8.4,67.1,0,0,1,1,1,8,0,1,2,8,5,9,2,7,20238
zajactr85,Travis.Zajac,C,0,0,0,0,0,0,0,2,4,5,1,10,8,1,5,0,9,3,6,0,1,0,11.3,53.1,31.9,85,42.5,15.9,58.5,37.2,10.6,1,0,0,1,7,2,1,0,8,3,10,6,6,2,20238
tootojo83,Jordin.Tootoo,R,0,0,0,0,0,0,1,1,3,5,0,8,7,1,2,1,0,0,4,1,1,1,10.8,44.6,27.9,72.5,39,11.2,50.2,33.5,11.2,0,1,0,1,6,2,0,0,7,2,8,5,4,1,20238
kalinse91,Sergey.Kalinin,F,0,0,1,0,1,4,4,4,3,4,1,9,7,1,6,1,0,0,3,0,0,1,10.8,49.9,33.3,83.1,38.8,16.6,55.4,33.3,11.1,0,1,1,3,6,2,1,0,7,3,9,6,6,3,20238
palmiky91,Kyle.Palmieri,RL,0,1,0,0,1,1,2,2,1,3,1,9,7,1,5,1,0,0,1,2,0,0,12.1,44.8,39.8,84.5,34.8,19.9,54.7,29.8,5,1,1,0,0,6,1,1,0,7,4,9,8,6,4,20238
mattest94,Stefan.Matteau,L,0,0,0,0,0,0,1,2,1,3,-1,7,5,1,1,0,0,0,3,2,0,0,10.4,40.3,34.5,74.8,28.8,11.5,40.3,28.8,11.5,0,0,0,2,5,2,0,1,5,2,7,6,4,1,20238
josefja91,Jacob.Josefson,CL,0,0,0,0,0,2,3,3,1,4,0,7,7,1,2,1,3,1,3,2,0,0,12.1,34.7,29.8,64.5,34.7,14.9,49.6,29.8,9.9,0,1,0,3,6,2,0,0,7,3,7,6,5,2,20238
schleda87,David.Schlemko,D,0,0,0,0,0,0,0,0,-6,-4,0,3,3,1,1,1,0,0,0,3,0,0,13.4,13.4,40.2,53.6,13.4,31.3,44.7,8.9,17.9,0,1,0,0,2,4,0,0,3,7,3,9,1,4,20238
larssad92,Adam.Larsson,D,0,0,0,0,0,0,0,1,-6,-1,1,15,11,1,6,1,0,0,4,3,0,0,18.3,49.1,68.7,117.8,36,39.3,75.2,32.7,32.7,1,1,0,0,10,10,1,0,11,12,15,21,10,9,20238
